LAMMPS data file. CGCMM Style. atom_style full. Created by charmm2lammps v1.9.2 on Текущая дата: 20.02.2023 

         699  atoms
         466  bonds
         233  angles
           0  dihedrals
           0  impropers

           2  atom types
           1  bond types
           1  angle types
           0  dihedral types
           0  improper types

      -0.011       19.989 xlo xhi
     -0.0065      19.9935 ylo yhi
        0.08        20.08 zlo zhi

Masses

       1      1.008  # HT
       2    15.9994  # OT

Pair Coeffs # lj/charmm/coul/long

       1            0.046   0.400013524445            0.046   0.400013524445  # HT
       2           0.1521    3.15057422683           0.1521    3.15057422683  # OT

Atoms # full

      92      31     1     0.417            5.673           13.019            3.612  # HT
      93      31     1     0.417            4.899           13.894            4.657  # HT
      94      32     2    -0.834             5.16           13.744            7.954  # OT
      95      32     1     0.417            6.048           13.422            8.207  # HT
      96      32     1     0.417            5.008           14.493            8.528  # HT
      97      33     2    -0.834            10.39            6.386           18.828  # OT
      98      33     1     0.417           10.688            6.484           19.731  # HT
      99      33     1     0.417            9.844            5.589           18.921  # HT
     100      34     2    -0.834            2.344           10.571            2.624  # OT
     101      34     1     0.417            2.122           10.753            3.553  # HT
     102      34     1     0.417            2.947            9.791            2.617  # HT
     103      35     2    -0.834             2.71            6.185             7.54  # OT
     104      35     1     0.417            2.467            6.236            6.561  # HT
     105      35     1     0.417             3.41            6.855             7.58  # HT
     106      36     2    -0.834           10.929            14.75            5.718  # OT
     107      36     1     0.417            10.05           14.541            5.408  # HT
     108      36     1     0.417           11.401           13.879            5.717  # HT
     109      37     2    -0.834            0.747            4.469           10.579  # OT
     110      37     1     0.417            0.426            3.568           10.339  # HT
     111      37     1     0.417            1.505            4.585             9.99  # HT
     112      38     2    -0.834            5.356            5.388           16.046  # OT
     113      38     1     0.417            5.884            6.064           16.461  # HT
     114      38     1     0.417            5.592            4.622           16.537  # HT
     115      39     2    -0.834           10.704            6.721           15.883  # OT
     116      39     1     0.417           10.901            6.912           16.836  # HT
     117      39     1     0.417           10.127            5.972           15.998  # HT
     118      40     2    -0.834            7.027            2.224           13.411  # OT
     119      40     1     0.417            6.185            2.801           13.535  # HT
     120      40     1     0.417            6.692            1.403           13.742  # HT
     121      41     2    -0.834           17.812            5.771            5.876  # OT
     122      41     1     0.417            17.22            6.316             5.38  # HT
     123      41     1     0.417           17.551            4.869            5.669  # HT
     124      42     2    -0.834            4.028            7.699           12.776  # OT
     125      42     1     0.417            4.577            7.193           12.138  # HT
     126      42     1     0.417            3.171             7.32           12.544  # HT
     127      43     2    -0.834           12.493            9.451            2.215  # OT
     128      43     1     0.417           12.908             9.84            2.987  # HT
     129      43     1     0.417           12.982            8.641            2.039  # HT
     130      44     2    -0.834           11.177             9.61            7.928  # OT
     131      44     1     0.417           10.443           10.172            8.053  # HT
     132      44     1     0.417           10.866            8.788            8.298  # HT
     133      45     2    -0.834            1.838            3.206           15.398  # OT
     134      45     1     0.417            2.201            4.081           15.545  # HT
     135      45     1     0.417            2.117            2.999           14.422  # HT
     136      46     2    -0.834           16.133           12.593           16.908  # OT
     137      46     1     0.417           15.352           12.769           16.391  # HT
     138      46     1     0.417           15.887           11.876           17.511  # HT
     139      47     2    -0.834            1.899           11.624           17.893  # OT
     140      47     1     0.417            1.139           11.678           17.305  # HT
     141      47     1     0.417            2.258           12.535           17.855  # HT
     142      48     2    -0.834             9.22           13.904            17.34  # OT
     143      48     1     0.417           10.062           14.198           17.738  # HT
